region,issuer,card_name,program_name,source_url,annual_fee_status,signup_bonus_status,signup_spend_status,earn_rates_status,apply_url_status,notes
IN,HDFC Bank,HDFC Bank Infinia Metal Edition,HDFC SmartBuy Rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,HDFC Bank Diners Club Black Metal Edition,HDFC Diners Club Rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,HDFC Bank Regalia Gold Credit Card,HDFC Regalia Rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,HDFC Bank Millennia Credit Card,HDFC Millennia CashPoints,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,HDFC Bank MoneyBack+ Credit Card,HDFC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,HDFC Bank Freedom Credit Card,HDFC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,HDFC Bank UPI RuPay Credit Card,HDFC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,HDFC Bank UPI RuPay Credit Card Mega Saver,HDFC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,Swiggy HDFC Bank Credit Card,Swiggy Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,Paytm HDFC Bank Credit Card,Paytm Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,Paytm HDFC Bank Select Credit Card,Paytm Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,Paytm HDFC Bank Mobile Credit Card,Paytm Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,Paytm HDFC Bank Digital Credit Card,Paytm Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,EasyEMI HDFC Bank Credit Card,HDFC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,Tata Neu Infinity HDFC Bank Credit Card,NeuCoins,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,Tata Neu Plus HDFC Bank Credit Card,NeuCoins,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,IndianOil HDFC Bank Credit Card,IndianOil Fuel Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,IRCTC HDFC Bank Credit Card,IRCTC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,PIXEL Play Credit Card,HDFC Pixel Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,PIXEL Go Credit Card,HDFC Pixel Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,HDFC Bank Diners Club Privilege Credit Card,HDFC Diners Club Rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,HDFC Bank,HDFC Bank Diners Club Rewardz Credit Card,HDFC Diners Club Rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank Neo Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank Rewards Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Airtel Axis Bank Credit Card,Airtel Cashback,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank ACE Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank SELECT Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank MAGNUS Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank HORIZON Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,IndianOil Axis Bank Credit Card,IndianOil Fuel Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Pride Platinum Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Pride Signature Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Buzz Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,super.money RuPay Credit Card,super.money Cashback,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank Reserve Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,MY Zone Easy Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,IndianOil Easy Credit Card,IndianOil Fuel Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Privilege Easy Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank Atlas Credit Card,Axis EDGE Miles,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank AURA Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank Signature Credit Card with Lifestyle Benefits,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank Platinum Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank Titanium Smart Traveler Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Flipkart Axis Bank Super Elite Credit Card,Flipkart SuperCoins,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,SpiceJet Axis Bank Voyage Black Credit Card,SpiceClub,https://www.axisbank.com/retail/cards/credit-card/spicejet-axis-bank-voyage-black-credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Samsung Axis Bank Infinite Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Samsung Axis Bank Signature Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Miles and More Axis Bank Credit Card,Miles and More,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank Freecharge Credit Card,Freecharge Cashback,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank Freecharge Plus Credit Card,Freecharge Cashback,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,LIC Axis Bank Signature Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,LIC Axis Bank Platinum Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Kwik Axis Bank Credit Card,Axis Reward Points,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Axis Bank Privilege Credit Card,Axis EDGE Rewards,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,Axis Bank,Flipkart Axis Bank Credit Card,Flipkart SuperCoins,https://www.axisbank.com/retail/cards/credit-card,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,CASHBACK SBI Card,SBI Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Flipkart SBI Card,Flipkart SuperCoins,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,IndiGo SBI Card,IndiGo BluChip,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SimplyCLICK SBI Card,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Tata Neu Infinity SBI Card,NeuCoins,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SBI Card Miles Elite,SBI Travel Credits,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SBI Card ELITE,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SBI Card PRIME,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SBI Card PULSE,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Tata Neu Plus SBI Card,NeuCoins,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Doctor's SBI Card in association with IMA,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,SBI Card ELITE Advantage,SBI Reward Points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,PhonePe SBI Card SELECT BLACK,PhonePe Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,PhonePe SBI Card PURPLE,PhonePe Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,OLA Money SBI Card,OLA Cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
IN,SBI Card,Apollo SBI Card SELECT,Apollo Rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,pending_structured_enrichment,Fill from official product page before card becomes recommendation-eligible
