region,program_name,short_name_candidate,program_kind,operator,program_slug_candidate,geography,catalog_status,source_confidence,seed_readiness
IN,HDFC SmartBuy Rewards,HDFC SmartBuy Rewards,bank_rewards,HDFC Bank,hdfc-smartbuy-rewards,IN,active_public,high,ready_for_program_seed
IN,HDFC Diners Club Rewards,HDFC Diners Club Rewards,bank_rewards,HDFC Bank,hdfc-diners-club-rewards,IN,active_public,high,ready_for_program_seed
IN,HDFC Regalia Rewards,HDFC Regalia Rewards,bank_rewards,HDFC Bank,hdfc-regalia-rewards,IN,active_public,high,ready_for_program_seed
IN,HDFC Millennia CashPoints,HDFC Millennia CashPoints,bank_rewards,HDFC Bank,hdfc-millennia-cashpoints,IN,active_public,high,ready_for_program_seed
IN,HDFC Reward Points,HDFC Reward Points,bank_rewards,HDFC Bank,hdfc-reward-points,IN,active_public,medium,ready_for_program_seed
IN,HDFC Pixel Cashback,HDFC Pixel Cashback,bank_rewards,HDFC Bank,hdfc-pixel-cashback,IN,active_public,high,ready_for_program_seed
IN,Paytm Cashback,Paytm Cashback,bank_rewards,HDFC Bank,paytm-cashback,IN,active_public,high,ready_for_program_seed
IN,Swiggy Cashback,Swiggy Cashback,bank_rewards,HDFC Bank,swiggy-cashback,IN,active_public,high,ready_for_program_seed
IN,NeuCoins,NeuCoins,bank_rewards,Tata Neu / HDFC Bank / SBI Card,neucoins,IN,active_public,high,ready_for_program_seed
IN,IndianOil Fuel Points,IndianOil Fuel Points,bank_rewards,IndianOil and issuing banks,indianoil-fuel-points,IN,active_public,medium,ready_for_program_seed
IN,IRCTC Reward Points,IRCTC Reward Points,bank_rewards,IRCTC and issuing banks,irctc-reward-points,IN,active_public,medium,ready_for_program_seed
IN,Axis EDGE Rewards,Axis EDGE Rewards,bank_rewards,Axis Bank,axis-edge-rewards,IN,active_public,high,ready_for_program_seed
IN,Axis EDGE Miles,Axis EDGE Miles,bank_rewards,Axis Bank,axis-edge-miles,IN,active_public,high,ready_for_program_seed
IN,Axis Reward Points,Axis Reward Points,bank_rewards,Axis Bank,axis-reward-points,IN,active_public,medium,ready_for_program_seed
IN,Airtel Cashback,Airtel Cashback,bank_rewards,Axis Bank and Airtel,airtel-axis-cashback,IN,active_public,high,ready_for_program_seed
IN,Flipkart SuperCoins,Flipkart SuperCoins,bank_rewards,Flipkart and partner banks,flipkart-supercoins,IN,active_public,medium,ready_for_program_seed
IN,SpiceClub,SpiceClub,airline,SpiceJet,spiceclub,IN,active_public,high,ready_for_program_seed
IN,Freecharge Cashback,Freecharge Cashback,bank_rewards,Axis Bank and Freecharge,freecharge-cashback,IN,active_public,high,ready_for_program_seed
IN,Miles and More,Miles and More,airline,Lufthansa Group,miles-and-more,IN,active_public,high,ready_for_program_seed
IN,Amex Membership Rewards India,Amex Membership Rewards Indi,bank_rewards,American Express India,amex-membership-rewards-india,IN,active_public,high,ready_for_program_seed
IN,SBI Reward Points,SBI Reward Points,bank_rewards,SBI Card,sbi-reward-points,IN,active_public,high,ready_for_program_seed
IN,SBI Travel Credits,SBI Travel Credits,bank_rewards,SBI Card,sbi-travel-credits,IN,active_public,high,ready_for_program_seed
IN,SBI Cashback,SBI Cashback,bank_rewards,SBI Card,sbi-cashback,IN,active_public,high,ready_for_program_seed
IN,PhonePe Cashback,PhonePe Cashback,bank_rewards,SBI Card and PhonePe,phonepe-cashback,IN,active_public,high,ready_for_program_seed
IN,OLA Cashback,OLA Cashback,bank_rewards,SBI Card and OLA,ola-cashback,IN,active_public,high,ready_for_program_seed
