region,issuer,card_name,reward_program,source_url,source_scope,source_confidence,status,notes
IN,HDFC Bank,HDFC Bank Infinia Metal Edition,HDFC SmartBuy Rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,active_public,Premium flagship travel card
IN,HDFC Bank,HDFC Bank Diners Club Black Metal Edition,HDFC Diners Club Rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,active_public,Premium Diners metal card
IN,HDFC Bank,HDFC Bank Regalia Gold Credit Card,HDFC Regalia Rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,active_public,Core travel card
IN,HDFC Bank,HDFC Bank Millennia Credit Card,HDFC Millennia CashPoints,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,active_public,Mainstream cashback card
IN,HDFC Bank,HDFC Bank MoneyBack+ Credit Card,HDFC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,active_public,Entry rewards card
IN,HDFC Bank,HDFC Bank Freedom Credit Card,HDFC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,active_public,Spend-category card
IN,HDFC Bank,HDFC Bank UPI RuPay Credit Card,HDFC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,active_public,UPI-linked RuPay card
IN,HDFC Bank,HDFC Bank UPI RuPay Credit Card Mega Saver,HDFC Reward Points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,active_public,UPI-linked RuPay variant
IN,HDFC Bank,Swiggy HDFC Bank Credit Card,Swiggy Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,active_public,Co-brand cashback card
IN,HDFC Bank,Paytm HDFC Bank Credit Card,Paytm Cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,active_public,Co-brand cashback card
