region,issuer,card_name,image_asset_slug,official_source_page,source_scope,source_confidence,image_strategy,hotlink_policy,extraction_status,notes
IN,HDFC Bank,HDFC Bank Infinia Metal Edition,hdfc-bank-infinia-metal-edition,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,HDFC Bank Diners Club Black Metal Edition,hdfc-bank-diners-club-black-metal-edition,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,HDFC Bank Regalia Gold Credit Card,hdfc-bank-regalia-gold-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,HDFC Bank Millennia Credit Card,hdfc-bank-millennia-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,HDFC Bank MoneyBack+ Credit Card,hdfc-bank-moneyback-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,HDFC Bank Freedom Credit Card,hdfc-bank-freedom-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,HDFC Bank UPI RuPay Credit Card,hdfc-bank-upi-rupay-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,HDFC Bank UPI RuPay Credit Card Mega Saver,hdfc-bank-upi-rupay-credit-card-mega-saver,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,Swiggy HDFC Bank Credit Card,swiggy-hdfc-bank-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,Paytm HDFC Bank Credit Card,paytm-hdfc-bank-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,Paytm HDFC Bank Select Credit Card,paytm-hdfc-bank-select-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,Paytm HDFC Bank Mobile Credit Card,paytm-hdfc-bank-mobile-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,medium,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,Paytm HDFC Bank Digital Credit Card,paytm-hdfc-bank-digital-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,medium,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,EasyEMI HDFC Bank Credit Card,easyemi-hdfc-bank-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,Tata Neu Infinity HDFC Bank Credit Card,tata-neu-infinity-hdfc-bank-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,Tata Neu Plus HDFC Bank Credit Card,tata-neu-plus-hdfc-bank-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,IndianOil HDFC Bank Credit Card,indianoil-hdfc-bank-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,IRCTC HDFC Bank Credit Card,irctc-hdfc-bank-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,PIXEL Play Credit Card,pixel-play-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
IN,HDFC Bank,PIXEL Go Credit Card,pixel-go-credit-card,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,fetch_official_asset_then_self_host,do_not_hotlink_in_production,pending_asset_extraction,Fetch from issuer page or linked CDN asset then store in our own bucket
