region,issuer,card_name,reward_program,source_url,source_scope,source_confidence,status,notes
US,Chase,Chase Sapphire Reserve,Chase Ultimate Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Core premium transferable-points card
US,Chase,Chase Sapphire Preferred,Chase Ultimate Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Core mainstream transferable-points card
US,Chase,Chase Freedom Flex,Chase Ultimate Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,No-fee cash/UR ecosystem card
US,Chase,Chase Freedom Unlimited,Chase Ultimate Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,No-fee cash/UR ecosystem card
US,Chase,Slate Edge,Statement Credit,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Balance-transfer product
US,Chase,Prime Visa,Amazon Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Amazon co-brand
US,Chase,Amazon Visa,Amazon Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Amazon co-brand
US,Chase,Prime Store Card,Amazon Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Amazon store product
US,Chase,Southwest Rapid Rewards Priority Credit Card,Southwest Rapid Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Airline co-brand
US,Chase,Southwest Rapid Rewards Premier Credit Card,Southwest Rapid Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Airline co-brand
US,Chase,Southwest Rapid Rewards Plus Credit Card,Southwest Rapid Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Airline co-brand
US,Chase,United Explorer Card,United MileagePlus,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Airline co-brand
US,Chase,United Gateway Card,United MileagePlus,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Airline co-brand
US,Chase,United Quest Card,United MileagePlus,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Airline co-brand
US,Chase,United Club Card,United MileagePlus,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Premium airline co-brand
US,Chase,Marriott Bonvoy Boundless Card,Marriott Bonvoy,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Hotel co-brand
US,Chase,Marriott Bonvoy Bold Card,Marriott Bonvoy,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Hotel co-brand
US,Chase,Marriott Bonvoy Bountiful Card,Marriott Bonvoy,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Hotel co-brand
US,Chase,IHG One Rewards Premier Credit Card,IHG One Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Hotel co-brand
US,Chase,IHG One Rewards Traveler Credit Card,IHG One Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Hotel co-brand
US,Chase,World of Hyatt Credit Card,World of Hyatt,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Hotel co-brand
US,Chase,World of Hyatt Business Credit Card,World of Hyatt,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Hotel co-brand business card
US,Chase,Aeroplan Credit Card,Air Canada Aeroplan,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Airline co-brand
US,Chase,Disney Visa Card,Disney Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Entertainment co-brand
US,Chase,Disney Premier Visa Card,Disney Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Entertainment co-brand
US,Chase,Ink Business Preferred Credit Card,Chase Ultimate Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Business transferable-points card
US,Chase,Ink Business Unlimited Credit Card,Chase Ultimate Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Business cash/UR ecosystem card
US,Chase,Ink Business Cash Credit Card,Chase Ultimate Rewards,https://creditcards.chase.com/all-credit-cards,official_portfolio_page,high,active_public,Business cash/UR ecosystem card
US,American Express,The Platinum Card,Amex Membership Rewards,https://www.americanexpress.com/us/credit-cards/,official_portfolio_page,high,active_public,Flagship charge card
