region,program_name,program_kind,operator,canonical_slug_candidate,source_url,source_scope,source_confidence,status,notes
IN,HDFC SmartBuy Rewards,bank_rewards,HDFC Bank,hdfc-smartbuy-rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,active_public,Use as umbrella for Infinia-led transferable travel value
IN,HDFC Diners Club Rewards,bank_rewards,HDFC Bank,hdfc-diners-club-rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,active_public,Separate from generic HDFC rewards in catalog model
IN,HDFC Regalia Rewards,bank_rewards,HDFC Bank,hdfc-regalia-rewards,https://www.hdfcbank.com/personal/pay/cards/credit-cards/travel,official_search_snippet,high,active_public,Separate value track
IN,HDFC Millennia CashPoints,bank_rewards,HDFC Bank,hdfc-millennia-cashpoints,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,active_public,Cashback program not transferable
IN,HDFC Reward Points,bank_rewards,HDFC Bank,hdfc-reward-points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,medium,active_public,Shared generic program for several mainstream HDFC cards
IN,HDFC Pixel Cashback,bank_rewards,HDFC Bank,hdfc-pixel-cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cashback,official_search_snippet,high,active_public,Digital cashback program
IN,Paytm Cashback,bank_rewards,HDFC Bank,paytm-cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,active_public,Co-brand cashback layer
IN,Swiggy Cashback,bank_rewards,HDFC Bank,swiggy-cashback,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,high,active_public,Co-brand cashback layer
IN,NeuCoins,bank_rewards,Tata Neu / HDFC Bank / SBI Card,neucoins,https://www.tataneu.com/home,official_program_page,high,active_public,Tata ecosystem loyalty currency
IN,IndianOil Fuel Points,bank_rewards,IndianOil and issuing banks,indianoil-fuel-points,https://www.hdfcbank.com/personal/pay/cards/credit-cards/cobranded,official_search_snippet,medium,active_public,Fuel co-brand program family
IN,IRCTC Reward Points,bank_rewards,IRCTC and issuing banks,irctc-reward-points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,medium,active_public,Rail co-brand currency family
IN,Axis EDGE Rewards,bank_rewards,Axis Bank,axis-edge-rewards,https://www.axisbank.com/axis-edge-rewards/c-card,official_program_page,high,active_public,Core Axis rewards currency
IN,Axis EDGE Miles,bank_rewards,Axis Bank,axis-edge-miles,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Important transfer-style travel currency tied to Atlas
IN,Axis Reward Points,bank_rewards,Axis Bank,axis-reward-points,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,medium,active_public,Generic family for non-Atlas cards
IN,Airtel Cashback,bank_rewards,Axis Bank and Airtel,airtel-axis-cashback,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Card-specific cashback layer
IN,Flipkart SuperCoins,bank_rewards,Flipkart and partner banks,flipkart-supercoins,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,medium,active_public,Co-brand loyalty layer
IN,SpiceClub,airline,SpiceJet,spiceclub,https://corporate.spicejet.com/SpiceClub.aspx/SpiceRoute.aspx,official_program_page,high,active_public,Official SpiceClub program page is live and publicly accessible
IN,Freecharge Cashback,bank_rewards,Axis Bank and Freecharge,freecharge-cashback,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,Fintech co-brand layer
IN,Miles and More,airline,Lufthansa Group,miles-and-more,https://www.axisbank.com/retail/cards/credit-card,official_portfolio_page,high,active_public,International airline program with India co-brand
IN,Amex Membership Rewards India,bank_rewards,American Express India,amex-membership-rewards-india,https://www.americanexpress.com/in/credit-cards/all-cards/,official_portfolio_page,high,active_public,Canonical India Amex program
IN,SBI Reward Points,bank_rewards,SBI Card,sbi-reward-points,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Main SBI rewards currency
IN,SBI Travel Credits,bank_rewards,SBI Card,sbi-travel-credits,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Travel card family currency
IN,SBI Cashback,bank_rewards,SBI Card,sbi-cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Standalone cashback value
IN,PhonePe Cashback,bank_rewards,SBI Card and PhonePe,phonepe-cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Fintech co-brand layer
IN,OLA Cashback,bank_rewards,SBI Card and OLA,ola-cashback,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Fintech co-brand layer
IN,Apollo Rewards,bank_rewards,SBI Card and Apollo,apollo-rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Healthcare co-brand layer
IN,Landmark Rewards,bank_rewards,SBI Card and Landmark,landmark-rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Retail co-brand layer
IN,Titan Rewards,bank_rewards,SBI Card and Titan,titan-rewards,https://www.sbicard.com/en/personal/credit-cards/all-cards.page,official_portfolio_page,high,active_public,Retail co-brand layer
